,comments,category
0,Еуровидение 2010 ән конкурсы Еуровидениенің 55-ші конкурсы болады .,neutral
1,"Қой , қазақ бұлармен не ғып соғыса алсын ?",negative
2,Қазақстан осы өңірдегі бейбітшілікті қолдайды .,positive
3,Дмитрий Медведевтің Астанаға сапары 22 мамырға жоспарланып отыр .,neutral
4,Біздің елде сізге ерекше құрметпен қарайды .,positive
5,- Біздің Үкімет бұл жобаны міндетті түрде қолдайды .,neutral
6,- Көші-қон мәселелерін реттеу Қазақстан үшін маңызды болып саналады .,neutral
7,Қазіргі кезде қаланың ішкі өңірлік өнімі 20 есе өсті .,positive
8,Кәсіпорында сапа менеджментінің жүйесі енгізілген .,neutral
9,"Жобаны 5 кезеңге бөліп , 12 жылда жүзеге асыру жоспарланып отыр .",neutral
10,Бұл өте тиімді келісімшарт .,positive
11,Әлемде мұндай тәжірибе бар .,neutral
12,Есірткі бизнесі де Орталық Азия аймағы үшін қауіп болып отыр .,negative
13,Кірпіш өндіруге жергілікті шикізат пайдаланылады .,neutral
14,- Бас прокуратураның және Бас прокурордың жұмысын қолдаймын .,positive
15,Президент бүгінде Астана бүкіл еліміздің игілігі болып табылатынын атап өтті .,positive
16,Қалыптасу кезеңі табысты аяқталды .,positive
17,Астанада барлық қажетті жабдықтармен жабдықталған ірі медициналық орталықтар бар .,positive
18,Өзінің базалық өлшемі бойынша ол орындалды .,neutral
19,Қазір 1 млрд. АҚШ долларына дейінгі қаражаты бар бірлескен қор құрылып жатыр .,positive
20,Халықтың үміті мен Сіздің сеніміңізді ақтай алғаныма қуанышты мын .,positive
21,Енді осы негізде саяси жүйені біртіндеп демократияландыруды бастады .,positive
22,Бұл Қазақстанның бәсекеге қабілетті әлеуеті бар салалар .,positive
23,Тұрғын үй кешені 487 пәтерден тұрады .,neutral
24,Біздің өңір үшін – бұл стратегиялық жол .,neutral
25,- XXI ғасырда біздің Конституциямызды жаңаша оқу қажет .,neutral
26,- Бұл менің сіздердің елордаларыңызға үшінші сапарым .,positive
27,Конкурсқа қатысуға 296 кәсіпорын ниет білдірген .,neutral
28,Жобаның 1 - кезеңінің ( кеме жасау зауыты ) аяқталуы – 2006 жылдың тамыз айы .,neutral
29,Біз осы берекелі бірлігіміз арқылы биік белестерді бағындырдық .,positive
30,Бізде әлемдегі үздік үлгілерді осында әкелудің бірегей мүмкіндігі бар .,positive
31,Бүгін Мемлекет басшысы Нұрсұлтан Назарбаев бірқатар Заңдарға қол қойды .,neutral
32,Болашақта бұл көрсеткіш өсе бермек .,positive
33,Біз қазір мемлекет дамуының жаңа үлгісін әзірлеп жатырмыз .,positive
34,Осының бәрі терең құрметке лайық .,positive
35,Мұнай өндіру 20 миллион тоннаға дейін ұлғайды .,positive
36,Алматы облысы – еліміздің халық тығыз топтасқан өңірлерінің бірі .,neutral
37,Осы оқиғаларды үлкен өкінішпен бақылап отырмын .,negative
38,"Жобаның құны 2,3 миллиард теңгені құрайды .",neutral
39,Қазіргі уақыттағы дағдарыс біз үшін нағыз сынақ болды .,negative
40,Елдің болашағын барша халықпен бірге жасаңыздар !,positive
41,Бюджетке ақшаның түсуі көбейгені рас .,positive
42,"Астана елімізге қайырлы да құтты қала болды , - деді Мемлекет басшысы .",positive
43,Содан кейін Мемлекет басшысының жұмыс сапары Теміртау қаласында жалғасты .,neutral
44,Тек сыртқы кредиттеуге үміт арту ақылдылық емес .,negative
45,"- Сіздер осында тұрып жатырсыздар , ал Астанада жұмыс істейсіздер .",neutral
46,Енді біз тарихымызға басқа қырынан келуге тиіс піз .,neutral
47,Жұмыстың ерекшелігі - алынған нәтижелердің инновациялық бағыты .,neutral
48,Кореяның Қазақстанға салған инвестициясының көлемі 2 миллиард доллардан асып түсті .,positive
49,Жұмыссыздық 12 пайызға төмендеді .,positive
50,Өмір өзгерді .,neutral
51,Жағдай өзгерді .,neutral
52,"Зейнетақы жинақтарының көлемі 2,2 трлн. теңгеге артты .",positive
53,Ол солай бола береді деп ойлаймын .,neutral
54,Соған қарамастан мен тәртіп орнатуға қарсы үлкен қарсылықты сезіп тұрмын .,negative
55,Түстен кейін Президент Павлодар ауданындағы емхананы аралады .,neutral
56,– Біз жаттығулар барысын мұқият бақылап отырдық .,neutral
57,Кешендегі 46 пәтердің барлығы тұрмыстық техникамен жабдықталған .,positive
58,– Бізге жұмыс форматын елеулі түрде қайта қарау керек .,positive
59,Біз осы дәстүрді қастерлеп сақтаймыз және нығайтамыз .,positive
60,Саммит жұмысының қорытындысында « Стамбұл Декларациясы » қабылданды .,neutral
61,Заңдардың мәтіндері баспасөзде жарияланады .,neutral
62,Осы Жарлық қол қойылған күннен бастап қолданысқа енгізіледі .,neutral
63,Бұл ұсыныс біздің көршілеріміз тарапынан қолдау тауып отыр .,positive
64,Осы орайда Нұрсұлтан Назарбаев төрт басым бағыттарды белгіледі .,neutral
65,Бұл Стратегия сіздерге арналған .,neutral
66,Инвестициялық саладағы ынтымақтастық табысты дамуда .,positive
67,Компания сондай-ақ жүк вагондарын жинау жөніндегі өндірісті жолға қою ниетінде .,neutral
68,- Мен осы мерекеге арналған шараларға үлкен толғаныспен қатысамын .,positive
69,Бүгінде оған барлық жағдай жасалған .,positive
70,"Соның өзінде , біз бұл жаман көрсеткіш емес деп санаймыз .",positive
71,"Нысанның жалпы құны 8,6 миллиард теңге .",neutral
72,"– Бұл – халықтың ұлы мерекесі , күн мен түннің теңелуінің белгісі .",positive
73,2007 жылы өзара сауда айналымының көлемі 531 миллион АҚШ долларын құраған .,neutral
74,- Біздің компания да осы процеске белсене қатысқысы келеді .,positive
75,"Асханаға өткен жылы күрделі жөндеу жасалып , жаңа құрал-жабдық алынған .",positive
76,"« Үмітсіз » кредиттердің үлесі – 7,2 пайызға дейін арта түскен .",negative
77,Бұл барлық әкімдер мен ауыл шаруашылығы тауар өндірушілерінің міндеті .,neutral
78,Бұл - біздің үлкен жетістігіміз .,positive
79,Оны түсіндіре білу керек .,neutral
80,Кездесу кезінде екіжақты ынтымақтастықтың мәселесі талқыланды .,positive
81,Сондықтан жұртшылық алаңдарлықтай ешқандай себеп жоқ .,positive
82,Мемлекет басшысы екі заңға қол қойды .,neutral
83,"Макроэкономикалық көрсеткіштер жаман емес , - деді Г. Марченко .",positive
84,Мен таң қалып отырмын .,neutral
85,Одан кейін еліміздің Президенті дала асханасынан дәм татты .,neutral
86,Оң серпін ағымдағы жылы да сақталып отыр .,positive
87,Сіздерді ұлық мереке – Құрбан айт мейрамымен шын жүректен құттықтаймын !,positive
88,Жылдың басында дағдарысқа қарсы бағдарлама бекітілді .,positive
89,– Қазір біз іске асыра алмайтындай жоба жоқ .,positive
90,Қымбатты ханымдар !,positive
91,Кәсіпкерлердің қырық пайызға жуығы әйелдер .,neutral
92,"Соның ішінде , олардың үшеуі Мемлекеттік Думаға екі мәртеден сайланды .",neutral
93,Қымбатты отандастар !,positive
94,Содан кейін Мемлекет басшысы « Шапағат » коммуналдық базарында болды .,neutral
95,"Қазақстан халқын абыроймен алға бастап , тағы да тарихи тамаша жеңістерге жетіңіз .",positive
96,Мемлекет басшысы Нұрсұлтан Назарбаев қысқа мерзімді демалысқа шықты .,neutral
97,Дик Чейнидің аузынан Астананың атына ешқандай айыптау айтылмады .,positive
98,- Президент Пирамиданы маған резиденция терезесінен көрсетті .,neutral
99,Санаулы сәттерден кейін біз жаңа 2012 жылға қадам басамыз .,neutral
100,Бұл халықаралық қоғамдастық үшін жақсы жағынан үлгі болады .,positive
101,Бұл мәселеде де біз Нұрсұлтан Әбішұлының қолдауын сезінеміз .,positive
102,Ол стратегиялық әріптестікке және өзара сенімге құрылған .,positive
103,Австрия Қазақстанның басты сауда серіктестері арасында жетінші орын алады .,neutral
104,"Олардың арасында Қытай , Түркия , Корея , Жапония бар .",neutral
105,- Біз Қазақстанның табыстары мен жетістіктерін жіті бақылап отырмыз .,neutral
106,« Мен Алматы маңындағы осы тамаша жерге келгендеріңіз үшін ризашылығымды білдіремін .,positive
107,Халықаралық күн тәртібіндегі өзекті мәселелер де талқыланды .,positive
108,Еліміздің қорғаныс қабілеті жоғары болуы үшін қолдан келгенді жасау қажет .,positive
109,Еліміздегі орташа жас – 35 .,neutral
110,- Қазақстан өзінің Грузиямен байланысында нақты экономикалық мүдделерді көздейді .,neutral
111,1995 жылдан бері аталған компания екі миллиард долларға жуық инвестиция салды .,positive
112,"Міне , сонда ғана ол тұрақты болады .",positive
113,Сізге тағы да « қош келдіңіз » деймін .,positive
114,"Әр нысан , әр салынған ғимарат бірегей болуы керек .",neutral
115,Қазақстан Каспий теңізінің айдынындағы ахуалды сенімді бақылауда ұстайды .,positive
116,"Сондықтан да мұнда біз бәрін мұқият зерттеп , ақылға салып көруіміз керек .",positive
117,Мен Саммитке әзірлік жөніндегі барлық мәселені шешеміз деп сенемін .,positive
118,Мүгедектер бірлестіктері қызметінің құқықтық базасын жетілдірген жөн .,positive
119,Тек биылғы жылдың өзінде Астанада шетелдердің 12 елшілігі ашылды .,positive
120,Орталық Азияда ішкі кикілжіңдер сақталуда .,negative
121,Иран Ислам Республикасының Президенті,neutral
122,"Жыл сайын , ай сайын жаңа ғимараттар іске қосылып жатыр .",neutral
123,Барлық құқық қорғау жүйесі жұмысының сапасын арттыру қажет .,positive
124,Біз екіжақты қарым-қатынастарды дамытуға мүдделі міз .,positive
125,Екі мемлекет арасында еңсерілмейтін ешқандай қайшылық жоқ .,positive
126,Жобаны жүзеге асыру мерзімі – 4 жыл .,neutral
127,Жоба құрылысының басталуы 2008 жылдың көктеміне жоспарланып отыр .,neutral
128,"Дамуымыз жедел , келешегіміз кемел болсын !",positive
129,Жарлықтың мәтіні баспасөзде жарияланады .,neutral
130,Осы орайда Сіздің сапарыңыз аса мәнді әрі маңызды болып отыр .,positive
131,Мұны бір компанияның атқаруы қиын .,negative
132,- Жаңа тұжырымдама толыққанды және дер кезінде енгізілуі қажет .,neutral
133,Осының барлығы бізді жігерлендіре түседі .,positive
134,Қазақстан өз жетістіктерімен мақтануға тиіс .,positive
135,Астананың халқы үш есе көбейді .,positive
136,Қазақстандағы ЮНЕСКО тұрақты даму жобасымен айналысады .,positive
137,"Өтіп бара жатқан жылға зор алғысымызды айтамыз , – деді Қазақстан Президенті .",positive
138,Сұрақтарыңызды мына мекен - жайға жолдауыңызды сұраймыз .,neutral
139,"Астана , Ақорда",positive
140,Бүгін Ақордада Мемлекет басшысы Нұрсұлтан Назарбаевтың төрағалығымен кеңес өтті .,neutral
141,Барлық министрлер Президент идеясымен келісті .,neutral
142,- Бұл білім ордасы – Астанадағы үздік мектептердің бірі .,positive
143,Осы кезең ішінде әлемдік ішкі жалпы өнім 11 есе өсті .,positive
144,Біз үлгілі дамудың өзіндік моделін қалыптастырдық .,positive
145,Осы сектор субъектілерінің банкроттығының айқын тетіктерін енгізген жөн .,neutral
146,- Біз елеулі табыстарға қол жеткіздік .,positive
147,"Ол кезге қарай капитал жинақтап , атыңды танытуға болады ” .",positive
148,Қазақстан Республикасы туризмді дамытуда үлкен әлеуетке ие .,positive
149,Бір құрам 940 адамға арналған .,neutral
150,- Сізді Гонконгте құшақ жая қарсы алу біз үшін үлкен құрмет .,positive
151,Мен үшін Астана – басты мәселе болып табылады .,neutral
